PLAYER_NAME,FTM,FTA,FTM_clutch,FTA_clutch,FTM_non_clutch,FTA_non_clutch,FT_PCT_clutch,FT_PCT_non_clutch,differential
Trey Alexander,2,2,0.0,0.0,2.0,2.0,,1.0,
Trey Jemison III,1,1,0.0,0.0,1.0,1.0,,1.0,
Trey Murphy III,218,246,20.0,21.0,198.0,225.0,0.9523809523809523,0.88,0.07238095238095232
Tristan Enaruna,6,8,,,,,,,
Tristan Vukcevic,87,111,0.0,0.0,87.0,111.0,,0.7837837837837838,
Tristan da Silva,84,95,6.0,7.0,78.0,88.0,0.8571428571428571,0.8863636363636364,-0.02922077922077926
Tristen Newton,2,3,,,,,,,
Ty Jerome,49,56,0.0,0.0,49.0,56.0,,0.875,
TyTy Washington Jr.,0,0,,,,,,,
Tyler Burton,23,27,0.0,0.0,23.0,27.0,,0.8518518518518519,
Tyler Herro,99,108,4.0,4.0,95.0,104.0,1.0,0.9134615384615384,0.08653846153846156
Tyler Kolek,14,20,0.0,0.0,14.0,20.0,,0.7,
Tyler Smith,4,6,0.0,0.0,4.0,6.0,,0.6666666666666666,
Tyrese Martin,19,28,0.0,0.0,19.0,28.0,,0.6785714285714286,
Tyrese Maxey,372,417,44.0,51.0,328.0,366.0,0.8627450980392157,0.8961748633879781,-0.03342976534876241
Tyrese Proctor,40,45,0.0,0.0,40.0,45.0,,0.8888888888888888,
Tyson Etienne,30,36,0.0,0.0,30.0,36.0,,0.8333333333333334,
Tyus Jones,7,9,0.0,0.0,7.0,9.0,,0.7777777777777778,
VJ Edgecombe,148,181,7.0,11.0,141.0,170.0,0.6363636363636364,0.8294117647058824,-0.19304812834224605
Victor Wembanyama,372,450,24.0,38.0,348.0,412.0,0.631578947368421,0.8446601941747572,-0.21308124680633622
Vince Williams Jr.,39,50,4.0,5.0,35.0,45.0,0.8,0.7777777777777778,0.022222222222222254
Vladislav Goldin,1,1,,,,,,,
Vít Krejčí,38,51,0.0,0.0,38.0,51.0,,0.7450980392156863,
Walker Kessler,14,20,2.0,2.0,12.0,18.0,1.0,0.6666666666666666,0.33333333333333337
Walter Clayton Jr.,109,121,0.0,0.0,109.0,121.0,,0.9008264462809917,
Wendell Carter Jr.,198,250,30.0,39.0,168.0,211.0,0.7692307692307693,0.7962085308056872,-0.026977761574917936
Wendell Moore Jr.,2,2,0.0,0.0,2.0,2.0,,1.0,
Will Richard,46,54,1.0,1.0,45.0,53.0,1.0,0.8490566037735849,0.15094339622641506
Will Riley,144,180,2.0,2.0,142.0,178.0,1.0,0.797752808988764,0.202247191011236
Xavier Tillman,1,4,0.0,0.0,1.0,4.0,,0.25,
Yang Hansen,28,34,,,,,,,
Yanic Konan Niederhäuser,47,62,0.0,0.0,47.0,62.0,,0.7580645161290323,
