player,pos,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Maxi Kleber,PF,0.509,9.6,-0.2,0.953125,0,0.828125,1.78125
Dalton Knecht,SF,0.568,17.7,-0.2,0.6119402985074627,0.43283582089552236,0.8208955223880597,1.8656716417910446
Kon Knueppel,SF,0.633,22.3,3.1,0.029850746268656716,0.7014925373134329,0.08955223880597014,0.8208955223880597
Tyler Kolek,PG,0.533,18.4,0.3,0.7049180327868853,0.2786885245901639,0.5737704918032787,1.5573770491803278
Yanic Konan Niederhäuser,C,0.691,15.7,0,0.1,0.3142857142857143,0.8285714285714286,1.2428571428571429
John Konchar,SG,0.568,9.4,0.8,0.48936170212765956,0.010638297872340425,0.3191489361702128,0.8191489361702128
Luke Kornet,C,0.689,10.3,2,0.11428571428571428,0.02857142857142857,0.12857142857142856,0.2714285714285714
Vít Krejčí,PG,0.609,14.6,0.1,0.13114754098360656,0.13114754098360656,0.6721311475409836,0.9344262295081966
Kyle Kuzma,PF,0.581,21.8,-0.1,0.484375,0.78125,0.75,2.015625
Jock Landale,C,0.595,18.3,0.7,0.6285714285714286,0.6142857142857143,0.5,1.7428571428571429
Jake LaRavia,PF,0.571,14.4,0.4,0.59375,0.203125,0.515625,1.3125
Pelle Larsson,SG,0.605,16.8,0.4,0.23404255319148937,0.40425531914893614,0.425531914893617,1.0638297872340425
Kawhi Leonard,SF,0.629,33.5,5.3,0.05970149253731343,0.9850746268656716,0,1.044776119402985
Caris LeVert,SG,0.518,18.4,0.5,0.8829787234042553,0.5638297872340425,0.40425531914893614,1.851063829787234
Brook Lopez,C,0.552,17.2,0.5,0.8714285714285714,0.4714285714285714,0.6,1.942857142857143
Caleb Love,SG,0.497,23,-0.3,0.925531914893617,0.8404255319148937,0.7340425531914894,2.5
Khaman Maluach,C,0.586,14.8,-0.2,0.7,0.24285714285714285,0.8857142857142857,1.8285714285714285
Sandro Mamukelashvili,C,0.637,18.8,2.1,0.35714285714285715,0.6571428571428571,0.11428571428571428,1.1285714285714286
Terance Mann,SG,0.564,13.5,-0.6,0.5531914893617021,0.10638297872340426,0.851063829787234,1.5106382978723405
Tre Mann,PG,0.462,23.3,-0.5,0.9836065573770492,0.6557377049180327,0.9016393442622951,2.540983606557377
Lauri Markkanen,PF,0.608,28.1,1.6,0.265625,0.984375,0.125,1.375
Naji Marshall,SF,0.592,20.5,0.8,0.3283582089552239,0.6119402985074627,0.34328358208955223,1.283582089552239
Caleb Martin,SF,0.526,12.5,0,0.9253731343283582,0.04477611940298507,0.6865671641791045,1.6567164179104479
Tyrese Martin,SG,0.501,18.4,-0.3,0.9148936170212766,0.5638297872340425,0.7340425531914894,2.212765957446808
Bennedict Mathurin,SF,0.575,25.2,-0.2,0.5074626865671642,0.8059701492537313,0.8208955223880597,2.1343283582089554
Karlo Matković,PF,0.696,13.1,0.6,0,0.15625,0.4375,0.59375
Tyrese Maxey,PG,0.588,29.4,4.9,0.22950819672131148,0.9016393442622951,0.03278688524590164,1.1639344262295082
Miles McBride,SG,0.578,18.2,0.9,0.425531914893617,0.5319148936170213,0.2765957446808511,1.2340425531914894
Jared McCain,SG,0.551,20.7,-0.1,0.6170212765957447,0.7446808510638298,0.5851063829787234,1.9468085106382977
CJ McCollum,PG,0.566,25.7,1,0.4918032786885246,0.819672131147541,0.4098360655737705,1.7213114754098362
T.J. McConnell,PG,0.567,23.2,1.1,0.45901639344262296,0.639344262295082,0.3770491803278688,1.4754098360655739
Jaden McDaniels,PF,0.611,18.5,1,0.234375,0.546875,0.234375,1.015625
Bryce McGowens,SG,0.61,14,-0.2,0.14893617021276595,0.14893617021276595,0.6914893617021277,0.9893617021276596
Jordan McLaughlin,PG,0.542,14.5,0.2,0.6721311475409836,0.11475409836065574,0.6229508196721312,1.4098360655737705
De'Anthony Melton,PG,0.518,25.4,-0.1,0.8524590163934426,0.7868852459016393,0.7213114754098361,2.360655737704918
Sam Merrill,SG,0.644,17,0.7,0.031914893617021274,0.44680851063829785,0.32978723404255317,0.8085106382978723
Khris Middleton,SF,0.533,20.6,-0.9,0.8656716417910447,0.6268656716417911,0.9701492537313433,2.462686567164179
Brandon Miller,SF,0.574,28.1,1.8,0.5223880597014925,0.9253731343283582,0.208955223880597,1.6567164179104477
Jordan Miller,SF,0.628,18,0.8,0.1044776119402985,0.44776119402985076,0.34328358208955223,0.8955223880597015
Leonard Miller,SF,0.633,18.7,0.1,0.029850746268656716,0.4925373134328358,0.6119402985074627,1.1343283582089552
Josh Minott,PF,0.653,16.8,1,0.0625,0.453125,0.234375,0.75
Yves Missi,C,0.556,12.6,0.1,0.8428571428571429,0.12857142857142856,0.8,1.7714285714285714
Ajay Mitchell,SG,0.585,21.8,1.4,0.3617021276595745,0.7978723404255319,0.1702127659574468,1.3297872340425532
Davion Mitchell,PG,0.582,13.6,0.6,0.2786885245901639,0.08196721311475409,0.45901639344262296,0.819672131147541
Donovan Mitchell,SG,0.613,32.2,4.2,0.13829787234042554,0.9893617021276596,0,1.127659574468085
