PLAY_TYPE,PLAYER_NAME,TEAM_ABBREVIATION,POSS,POSS_PCT,player_ppp,league_ppp,pts_saved_above_lg_avg
OffScreen,Kevin Huerter,CHI,16,0.044,0.875,0.9780956191238248,1.649529905981197
OffScreen,Mike Conley,MIN,16,0.047,0.875,0.9780956191238248,1.649529905981197
OffScreen,Giannis Antetokounmpo,MIL,16,0.05,0.875,0.9780956191238248,1.649529905981197
OffScreen,Alperen Sengun,HOU,15,0.012,0.9333333333333333,0.9780956191238248,0.6714342868573719
OffScreen,Chet Holmgren,OKC,15,0.019,0.9333333333333333,0.9780956191238248,0.6714342868573719
OffScreen,Nicolas Batum,LAC,14,0.043,1.0,0.9780956191238248,-0.30666133226645265
OffScreen,Sandro Mamukelashvili,TOR,12,0.015,1.1666666666666667,0.9780956191238248,-2.262852570514103
OffScreen,Alex Sarr,WAS,12,0.018,1.1666666666666667,0.9780956191238248,-2.262852570514103
OffScreen,Jay Huff,IND,11,0.012,1.2727272727272727,0.9780956191238248,-3.240948189637927
OffScreen,Obi Toppin,IND,10,0.065,1.4,0.9780956191238248,-4.219043808761751
OffScreen,Jaylen Clark,MIN,22,0.061,0.6818181818181818,0.9780956191238248,6.518103620724147
OffScreen,Santi Aldama,MEM,15,0.029,1.0,0.9780956191238248,-0.32856571314262784
OffScreen,Gradey Dick,TOR,13,0.033,1.1538461538461537,0.9780956191238248,-2.284756951390276
OffScreen,Wendell Carter Jr.,ORL,12,0.011,1.25,0.9780956191238248,-3.2628525705141023
OffScreen,Jahmai Mashack,MEM,11,0.042,1.3636363636363635,0.9780956191238248,-4.240948189637926
OffScreen,Taurean Prince,MIL,11,0.064,1.3636363636363635,0.9780956191238248,-4.240948189637926
OffScreen,Keldon Johnson,SAS,29,0.052,0.5517241379310345,0.9780956191238248,12.36477295459092
OffScreen,Cameron Johnson,DEN,20,0.038,0.8,0.9780956191238248,3.5619123824764953
OffScreen,Jalen Green,PHX,19,0.066,0.8421052631578947,0.9780956191238248,2.5838167633526723
OffScreen,Jaren Jackson Jr.,MEM,17,0.03,0.9411764705882353,0.9780956191238248,0.627625525105022
OffScreen,Jalen Williams,OKC,14,0.054,1.1428571428571428,0.9780956191238248,-2.3066613322664518
OffScreen,Bryce McGowens,NOP,13,0.037,1.2307692307692308,0.9780956191238248,-3.2847569513902783
OffScreen,Jonathan Kuminga,GSW,11,0.062,1.4545454545454546,0.9780956191238248,-5.240948189637928
OffScreen,Ja Morant,MEM,10,0.051,1.6,0.9780956191238248,-6.219043808761753
OffScreen,Jaden Hardy,DAL,10,0.069,1.6,0.9780956191238248,-6.219043808761753
OffScreen,Anthony Edwards,MIN,29,0.044,0.5862068965517241,0.9780956191238248,11.36477295459092
OffScreen,Isaiah Joe,OKC,29,0.057,0.5862068965517241,0.9780956191238248,11.36477295459092
OffScreen,Ajay Mitchell,OKC,29,0.061,0.5862068965517241,0.9780956191238248,11.36477295459092
OffScreen,Jimmy Butler III,GSW,25,0.072,0.68,0.9780956191238248,7.452390478095619
OffScreen,Mouhamed Gueye,ATL,19,0.04,0.8947368421052632,0.9780956191238248,1.5838167633526714
OffScreen,Shaedon Sharpe,POR,16,0.037,1.0625,0.9780956191238248,-1.350470094018803
OffScreen,Jalen Pickett,DEN,16,0.064,1.0625,0.9780956191238248,-1.350470094018803
OffScreen,Corey Kispert,ATL,15,0.053,1.1333333333333333,0.9780956191238248,-2.3285657131426274
OffScreen,Collin Murray-Boyles,TOR,14,0.023,1.2142857142857142,0.9780956191238248,-3.3066613322664513
OffScreen,Bobby Portis,MIL,10,0.017,1.7,0.9780956191238248,-7.219043808761752
OffScreen,Austin Reaves,LAL,29,0.051,0.6206896551724138,0.9780956191238248,10.364772954590919
OffScreen,Shai Gilgeous-Alexander,OKC,26,0.037,0.6923076923076923,0.9780956191238248,7.430486097219445
OffScreen,Jordan Hawkins,NOP,22,0.088,0.8181818181818182,0.9780956191238248,3.518103620724145
OffScreen,Victor Wembanyama,SAS,20,0.02,0.9,0.9780956191238248,1.5619123824764958
OffScreen,Dillon Brooks,PHX,20,0.036,0.9,0.9780956191238248,1.5619123824764958
OffScreen,T.J. McConnell,IND,14,0.047,1.2857142857142858,0.9780956191238248,-4.306661332266454
OffScreen,Alex Caruso,OKC,13,0.034,1.3846153846153846,0.9780956191238248,-5.284756951390277
OffScreen,Tyus Jones,ORL,10,0.044,1.8,0.9780956191238248,-8.219043808761752
OffScreen,Luke Kennard,ATL,18,0.059,1.0555555555555556,0.9780956191238248,-1.3942788557711538
OffScreen,Carter Bryant,SAS,17,0.045,1.1176470588235294,0.9780956191238248,-2.3723744748949787
OffScreen,Anfernee Simons,BOS,17,0.047,1.1176470588235294,0.9780956191238248,-2.3723744748949787
OffScreen,Javon Small,MEM,17,0.055,1.1176470588235294,0.9780956191238248,-2.3723744748949787
OffScreen,Michael Porter Jr.,BKN,12,0.028,1.5833333333333333,0.9780956191238248,-7.262852570514101
OffScreen,Kam Jones,IND,11,0.049,1.7272727272727273,0.9780956191238248,-8.240948189637928
OffScreen,Jerami Grant,POR,27,0.049,0.7407407407407407,0.9780956191238248,6.408581716343271
OffScreen,CJ McCollum,WAS,24,0.064,0.8333333333333334,0.9780956191238248,3.4742948589717946
OffScreen,Josh Green,CHA,22,0.071,0.9090909090909091,0.9780956191238248,1.5181036207241465
OffScreen,Johnny Furphy,IND,22,0.076,0.9090909090909091,0.9780956191238248,1.5181036207241465
OffScreen,Ryan Nembhard,DAL,18,0.043,1.1111111111111112,0.9780956191238248,-2.3942788557711543
OffScreen,Noah Clowney,BKN,17,0.027,1.1764705882352942,0.9780956191238248,-3.372374474894979
OffScreen,Simone Fontecchio,MIA,17,0.042,1.1764705882352942,0.9780956191238248,-3.372374474894979
OffScreen,Keon Ellis,SAC,17,0.052,1.1764705882352942,0.9780956191238248,-3.372374474894979
OffScreen,Nic Claxton,BKN,16,0.022,1.25,0.9780956191238248,-4.350470094018803
