player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Alex Caruso,carusal01,SG,OKC,56,0,1020,1,24,52,24,0,wing_small_percent,76,6,5,186,77,wing,0.3,2.2,2.5,0.12,-1.4,3.3,1.9,1,FALSE
Colin Castleton,castlco01,C,ORL,4,0,21,0,0,0,15,85,big_percent,100,6,10,250,82,big,0,0,0,-0.003,-6.1,-1.5,-7.7,0,FALSE
Stephon Castle,castlst01,PG,SAS,68,67,2038,48,52,0,0,0,guard_percent,100,6,6,215,78,guard,2.8,2.9,5.8,0.136,1,0.9,1.9,2,FALSE
Justin Champagnie,champju01,SF,WAS,69,19,1377,0,16,61,22,1,wing_big_percent,83,6,6,206,78,wing,2.4,0.8,3.1,0.109,0.6,-1,-0.4,0.6,TRUE
Julian Champagnie,champju02,SF,SAS,82,68,2266,0,5,52,43,1,wing_big_percent,95,6,7,217,79,wing,2.8,3.4,6.2,0.132,0.5,0.8,1.4,1.9,TRUE
Kennedy Chandler,chandke01,PG,UTA,11,2,355,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,0.2,0,0.2,0.029,-2.5,-3.1,-5.7,-0.3,FALSE
Cam Christie,chrisca02,SG,LAC,55,0,480,40,52,8,0,0,guard_percent,92,6,5,190,77,guard,-0.2,0.4,0.2,0.016,-3.5,-1.1,-4.6,-0.3,FALSE
Max Christie,chrisma02,SG,DAL,77,68,2244,26,68,5,1,0,guard_percent,94,6,5,190,77,guard,1.3,1.4,2.7,0.058,-1,-0.6,-1.5,0.3,FALSE
Moussa Cisse,cissemo01,C,DAL,38,1,530,0,0,0,0,100,big_percent,100,6,11,220,83,big,0.4,0.9,1.3,0.116,-3.6,0.7,-2.9,-0.1,FALSE
Sidy Cissoko,cissosi01,SF,POR,75,26,1435,13,38,36,12,0,wing_small_percent,74,6,6,220,78,wing,0,1.3,1.3,0.045,-4.6,0.5,-4,-0.7,FALSE
Brandon Clarke,clarkbr01,PF,MEM,2,2,20,0,0,79,21,0,wing_big_percent,100,6,8,215,80,wing,0,0,0,0.038,-4.7,-0.2,-4.9,0,FALSE
Jaylen Clark,clarkja02,SG,MIN,68,1,888,11,64,25,0,0,wing_small_percent,89,6,5,205,77,wing,0.6,1,1.7,0.09,-3.2,0.7,-2.4,-0.1,FALSE
Jordan Clarkson,clarkjo01,SG,NYK,72,1,1279,1,65,34,0,0,wing_small_percent,99,6,5,194,77,wing,0.9,1,1.9,0.072,-1.9,-1.4,-3.3,-0.4,FALSE
Nic Claxton,claxtni01,C,BRK,69,68,1920,0,0,0,0,100,big_percent,100,6,11,215,83,big,3.3,1.5,4.8,0.121,0.3,0.6,0.9,1.4,TRUE
Walter Clayton,claytwa01,PG,MEM,24,6,599,65,34,1,0,0,guard_percent,99,6,4,195,76,guard,-0.3,0.2,-0.1,-0.005,-2.7,-3.1,-5.8,-0.6,FALSE
Walter Clayton,claytwa01,PG,UTA,45,0,811,62,38,0,0,0,guard_percent,100,6,4,195,76,guard,0.3,0.1,0.3,0.019,-1.9,-1.4,-3.2,-0.2,FALSE
Nique Clifford,cliffni01,SG,SAC,75,28,1882,20,48,29,3,0,wing_small_percent,77,6,5,175,77,wing,-1.2,0.6,-0.6,-0.014,-3.7,-1.2,-4.9,-1.4,FALSE
Donovan Clingan,clingdo01,C,POR,77,77,2094,0,0,0,0,100,big_percent,100,7,2,280,86,big,5.1,3.5,8.6,0.197,2.4,0.6,3,2.6,TRUE
Noah Clowney,clownno01,PF,BRK,66,60,1780,0,0,15,81,4,wing_big_percent,96,6,10,210,82,wing,-0.1,1.2,1.1,0.029,-2.3,-1.1,-3.4,-0.6,FALSE
Amir Coffey,coffeam01,SG,MIL,30,2,265,0,36,59,5,0,wing_small_percent,95,6,7,210,79,wing,0.2,0,0.3,0.048,-3.2,-2,-5.2,-0.2,FALSE
Amir Coffey,coffeam01,SG,PHO,16,1,225,2,34,54,9,0,wing_small_percent,88,6,7,210,79,wing,0.4,0.2,0.6,0.125,-0.9,0.4,-0.5,0.1,FALSE
Isaiah Collier,colliis01,PG,UTA,59,19,1517,52,46,2,0,0,guard_percent,98,6,4,210,76,guard,1.3,0.3,1.7,0.053,-0.7,-1.8,-2.4,-0.2,FALSE
John Collins,collijo01,PF,LAC,69,56,1872,0,0,0,89,10,big_percent,99,6,9,226,81,big,2.7,1.8,4.6,0.117,0,-0.5,-0.5,0.7,TRUE
Zach Collins,colliza01,C,CHI,10,0,184,0,0,0,5,95,big_percent,100,6,9,250,81,big,0.4,0.1,0.5,0.137,1,-0.7,0.2,0.1,FALSE
Mike Conley,conlemi01,PG,MIN,54,15,991,100,0,0,0,0,guard_percent,100,6,1,175,73,guard,0.9,1,1.9,0.092,-2.3,1,-1.3,0.2,FALSE
Pat Connaughton,connapa01,SG,CHO,42,0,297,8,74,15,4,0,wing_small_percent,89,6,5,209,77,wing,0.3,0.4,0.7,0.113,-0.2,0.3,0.1,0.2,FALSE
Javonte Cooke,cookeja01,SG,POR,19,0,94,23,64,13,0,0,guard_percent,87,NA,NA,NA,NA,guard,-0.5,0.1,-0.3,-0.175,-10.5,-1.1,-11.7,-0.2,FALSE
Sharife Cooper,coopesh01,PG,WAS,41,1,700,100,0,0,0,0,guard_percent,100,6,0,176,72,guard,0.7,-0.1,0.6,0.041,-1,-2.9,-3.9,-0.3,FALSE
