player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Herbert Jones,Zion Williamson,NOP,28,16,28,9,0,7,44,20.363636363636363,12
Luka Garza,Payton Pritchard,BOS,14,37,10,20,4,17,51,20.313725490196077,23
Darius Garland,Donovan Mitchell,CLE,25,17,14,5,11,12,42,20.238095238095237,8
Brice Sensabaugh,Isaiah Collier,UTA,12,64,10,32,2,32,76,20.210526315789473,52
Baylor Scheierman,Derrick White,BOS,18,23,4,6,14,17,41,20.195121951219512,5
Jaxson Hayes,Luka Dončić,LAL,12,62,4,62,8,0,74,20.10810810810811,50
Brandon Miller,Moussa Diabaté,CHA,16,27,16,12,0,15,43,20.093023255813954,11
Jalen Brunson,Mitchell Robinson,NYK,35,14,35,4,0,10,49,20,21
Nic Claxton,Terance Mann,BKN,15,30,9,29,6,1,45,20,15
Alex Sarr,Bilal Coulibaly,WAS,17,24,11,18,6,6,41,19.902439024390244,7
Dylan Harper,Victor Wembanyama,SAS,34,14,23,7,11,7,48,19.833333333333332,20
Nic Claxton,Noah Clowney,BKN,34,14,13,13,21,1,48,19.833333333333332,20
Cade Cunningham,Isaiah Stewart,DET,57,12,48,10,9,2,69,19.82608695652174,45
Derrick Jones Jr.,Kawhi Leonard,LAC,16,26,11,13,5,13,42,19.80952380952381,10
Jalen Green,Oso Ighodaro,PHX,18,22,18,17,0,5,40,19.8,4
Jalen Brunson,Jordan Clarkson,NYK,29,15,15,5,14,10,44,19.772727272727273,14
Josh Hart,OG Anunoby,NYK,40,13,17,9,23,4,53,19.62264150943396,27
Brandin Podziemski,Stephen Curry,GSW,23,17,8,12,15,5,40,19.55,6
Ivica Zubac,Kawhi Leonard,LAC,17,23,13,23,4,0,40,19.55,6
Dominick Barlow,VJ Edgecombe,PHI,16,25,8,19,8,6,41,19.51219512195122,9
James Harden,Kawhi Leonard,LAC,52,12,28,2,24,10,64,19.5,40
Jaime Jaquez Jr.,Tyler Herro,MIA,20,19,11,14,9,5,39,19.487179487179485,1
Al Horford,Brandin Podziemski,GSW,19,20,9,6,10,14,39,19.487179487179485,1
Anthony Black,Jalen Suggs,ORL,14,32,6,25,8,7,46,19.47826086956522,18
John Collins,Kawhi Leonard,LAC,14,32,10,21,4,11,46,19.47826086956522,18
Aaron Gordon,Jamal Murray,DEN,13,38,6,26,7,12,51,19.372549019607842,25
Ivica Zubac,Kris Dunn,LAC,15,27,12,27,3,0,42,19.285714285714285,12
Chet Holmgren,Jalen Williams,OKC,12,49,12,30,0,19,61,19.278688524590162,37
Jalen Brunson,Landry Shamet,NYK,37,13,14,5,23,8,50,19.24,24
Karl-Anthony Towns,Miles McBride,NYK,16,24,6,13,10,11,40,19.2,8
AJ Green,Myles Turner,MIL,30,14,11,1,19,13,44,19.09090909090909,16
Michael Porter Jr.,Terance Mann,BKN,12,46,8,21,4,25,58,19.03448275862069,34
Bones Hyland,Donte DiVincenzo,MIN,26,15,7,3,19,12,41,19.024390243902438,11
Devin Vassell,Dylan Harper,SAS,15,26,10,9,5,17,41,19.024390243902438,11
Collin Sexton,Miles Bridges,CHA,26,15,14,10,12,5,41,19.024390243902438,11
Kawhi Leonard,Kobe Sanders,LAC,26,15,9,10,17,5,41,19.024390243902438,11
Deandre Ayton,LeBron James,LAL,11,70,8,70,3,0,81,19.012345679012345,59
Khris Middleton,Kyshawn George,WAS,19,19,4,12,15,7,38,19,0
Cason Wallace,Jaylin Williams,OKC,19,19,7,11,12,8,38,19,0
Jarace Walker,Jay Huff,IND,35,13,23,8,12,5,48,18.958333333333332,22
Jay Huff,Pascal Siakam,IND,14,29,13,13,1,16,43,18.88372093023256,15
Herbert Jones,Saddiq Bey,NOP,29,14,12,6,17,8,43,18.88372093023256,15
Ayo Dosunmu,Matas Buzelis,CHI,29,14,13,6,16,8,43,18.88372093023256,15
Anthony Davis,Cooper Flagg,DAL,16,23,13,22,3,1,39,18.871794871794872,7
Max Christie,P.J. Washington,DAL,15,25,12,8,3,17,40,18.75,10
Jaime Jaquez Jr.,Norman Powell,MIA,42,12,25,11,17,1,54,18.666666666666668,30
Donovan Clingan,Toumani Camara,POR,22,16,18,6,4,10,38,18.526315789473685,6
Draymond Green,Gui Santos,GSW,24,15,18,9,6,6,39,18.46153846153846,9
Brandin Podziemski,Gary Payton II,GSW,20,17,10,6,10,11,37,18.37837837837838,3
Devin Vassell,Julian Champagnie,SAS,20,17,6,4,14,13,37,18.37837837837838,3
Jaime Jaquez Jr.,Nikola Jović,MIA,17,20,10,15,7,5,37,18.37837837837838,3
Julian Strawther,Nikola Jokić,DEN,13,31,9,18,4,13,44,18.318181818181817,18
Day'Ron Sharpe,Michael Porter Jr.,BKN,31,13,19,12,12,1,44,18.318181818181817,18
De'Aaron Fox,Devin Vassell,SAS,53,11,18,7,35,4,64,18.21875,42
Anthony Edwards,Naz Reid,MIN,30,13,15,4,15,9,43,18.13953488372093,17
Bub Carrington,Marvin Bagley III,WAS,30,13,30,2,0,11,43,18.13953488372093,17
Jerami Grant,Jrue Holiday,POR,13,30,4,13,9,17,43,18.13953488372093,17
Brandon Williams,Naji Marshall,DAL,37,12,34,10,3,2,49,18.122448979591837,25
Jaylen Wells,Santi Aldama,MEM,18,18,12,9,6,9,36,18,0
Daniss Jenkins,Tobias Harris,DET,29,13,17,6,12,7,42,17.952380952380953,16
Bones Hyland,Jaden McDaniels,MIN,25,14,19,2,6,12,39,17.94871794871795,11
Egor Dëmin,Terance Mann,BKN,17,19,8,3,9,16,36,17.944444444444443,2
Kevin Porter Jr.,Kyle Kuzma,MIL,48,11,33,6,15,5,59,17.89830508474576,37
Cade Cunningham,Ronald Holland II,DET,35,12,23,8,12,4,47,17.872340425531913,23
Kentavious Caldwell-Pope,Santi Aldama,MEM,20,16,13,9,7,7,36,17.77777777777778,4
Jalen Johnson,Vít Krejčí,ATL,34,12,8,7,26,5,46,17.73913043478261,22
Isaac Okoro,Josh Giddey,CHI,11,44,4,26,7,18,55,17.6,33
Jerami Grant,Toumani Camara,POR,13,27,3,10,10,17,40,17.55,14
Collin Gillespie,Ryan Dunn,PHX,27,13,15,5,12,8,40,17.55,14
Brandin Podziemski,Jimmy Butler III,GSW,21,15,14,5,7,10,36,17.5,6
Jaren Jackson Jr.,Santi Aldama,MEM,17,18,11,9,6,9,35,17.485714285714284,1
Jarrett Allen,Jaylon Tyson,CLE,19,16,12,16,7,0,35,17.37142857142857,3
Brandon Williams,Klay Thompson,DAL,41,11,12,8,29,3,52,17.346153846153847,30
Jalen Johnson,Zaccharie Risacher,ATL,65,10,43,6,22,4,75,17.333333333333332,55
Kevin Huerter,Tre Jones,CHI,12,31,9,24,3,7,43,17.302325581395348,19
Jock Landale,Kentavious Caldwell-Pope,MEM,12,31,7,22,5,9,43,17.302325581395348,19
LeBron James,Rui Hachimura,LAL,40,11,23,8,17,3,51,17.254901960784313,29
John Collins,Kris Dunn,LAC,10,61,3,44,7,17,71,17.183098591549296,51
Derik Queen,Herbert Jones,NOP,20,15,14,13,6,2,35,17.142857142857142,5
Luke Kennard,Onyeka Okongwu,ATL,20,15,10,8,10,7,35,17.142857142857142,5
Devin Vassell,Keldon Johnson,SAS,20,15,15,7,5,8,35,17.142857142857142,5
Anthony Gill,Will Riley,WAS,15,20,9,17,6,3,35,17.142857142857142,5
Brook Lopez,Kris Dunn,LAC,13,25,2,7,11,18,38,17.105263157894736,12
Cam Spencer,Cedric Coward,MEM,29,12,17,3,12,9,41,16.975609756097562,17
Danny Wolf,Day'Ron Sharpe,BKN,18,16,18,12,0,4,34,16.941176470588236,2
Joel Embiid,Quentin Grimes,PHI,16,18,5,11,11,7,34,16.941176470588236,2
Tristan da Silva,Wendell Carter Jr.,ORL,16,18,14,8,2,10,34,16.941176470588236,2
Aaron Nesmith,Andrew Nembhard,IND,10,55,3,27,7,28,65,16.923076923076923,45
Bobby Portis,Kevin Porter Jr.,MIL,10,54,7,26,3,28,64,16.875,44
Ajay Mitchell,Shai Gilgeous-Alexander,OKC,13,24,8,14,5,10,37,16.864864864864863,11
De'Anthony Melton,Draymond Green,GSW,13,24,7,15,6,9,37,16.864864864864863,11
Darius Garland,Evan Mobley,CLE,28,12,22,10,6,2,40,16.8,16
Josh Giddey,Kevin Huerter,CHI,28,12,12,7,16,5,40,16.8,16
Cedric Coward,Jaren Jackson Jr.,MEM,21,14,17,5,4,9,35,16.8,7
Gary Payton II,Gui Santos,GSW,15,19,12,15,3,4,34,16.764705882352942,4
Jordan Goodwin,Oso Ighodaro,PHX,19,15,19,7,0,8,34,16.764705882352942,4
Dylan Harper,Julian Champagnie,SAS,35,11,9,4,26,7,46,16.73913043478261,24
Luguentz Dort,Shai Gilgeous-Alexander,OKC,10,51,9,9,1,42,61,16.721311475409838,41
Brandon Williams,Max Christie,DAL,27,12,7,6,20,6,39,16.615384615384617,15
Draymond Green,Moses Moody,GSW,27,12,7,7,20,5,39,16.615384615384617,15
Jaime Jaquez Jr.,Kel'el Ware,MIA,48,10,26,7,22,3,58,16.551724137931036,38
Keldon Johnson,Stephon Castle,SAS,11,33,10,16,1,17,44,16.5,22
CJ McCollum,Dyson Daniels,ATL,11,33,9,17,2,16,44,16.5,22
Chet Holmgren,Luguentz Dort,OKC,17,16,6,12,11,4,33,16.484848484848484,1
Sidy Cissoko,Toumani Camara,POR,16,17,8,6,8,11,33,16.484848484848484,1
Andre Drummond,Tyrese Maxey,PHI,16,17,9,12,7,5,33,16.484848484848484,1
CJ McCollum,Kyshawn George,WAS,17,16,4,7,13,9,33,16.484848484848484,1
Ajay Mitchell,Isaiah Hartenstein,OKC,20,14,20,12,0,2,34,16.470588235294116,6
Deni Avdija,Robert Williams III,POR,32,11,32,7,0,4,43,16.372093023255815,21
Dean Wade,Donovan Mitchell,CLE,11,32,5,8,6,24,43,16.372093023255815,21
Daniss Jenkins,Duncan Robinson,DET,32,11,11,6,21,5,43,16.372093023255815,21
Ayo Dosunmu,Julius Randle,MIN,18,15,14,8,4,7,33,16.363636363636363,3
Devin Vassell,Harrison Barnes,SAS,13,22,6,11,7,11,35,16.34285714285714,9
Chet Holmgren,Shai Gilgeous-Alexander,OKC,9,85,5,61,4,24,94,16.27659574468085,76
Matas Buzelis,Tre Jones,CHI,10,43,6,18,4,25,53,16.22641509433962,33
Daniss Jenkins,Paul Reed,DET,25,12,22,6,3,6,37,16.216216216216218,13
Kyle Kuzma,Myles Turner,MIL,25,12,12,8,13,4,37,16.216216216216218,13
Devin Booker,Ryan Dunn,PHX,25,12,9,9,16,3,37,16.216216216216218,13
Desmond Bane,Goga Bitadze,ORL,14,19,14,15,0,4,33,16.12121212121212,5
Jrue Holiday,Scoot Henderson,POR,14,19,9,7,5,12,33,16.12121212121212,5
Jalen Johnson,Kristaps Porziņģis,ATL,19,14,12,13,7,1,33,16.12121212121212,5
Grayson Allen,Mark Williams,PHX,30,11,30,5,0,6,41,16.097560975609756,19
Jose Alvarado,Trey Murphy III,NOP,21,13,11,5,10,8,34,16.058823529411764,8
Justin Edwards,Quentin Grimes,PHI,13,21,4,9,9,12,34,16.058823529411764,8
Cody Williams,Isaiah Collier,UTA,11,29,10,25,1,4,40,15.95,18
Brandon Williams,P.J. Washington,DAL,29,11,20,8,9,3,40,15.95,18
Brandon Miller,Sion James,CHA,15,17,4,1,11,16,32,15.9375,2
Amen Thompson,Josh Okogie,HOU,17,15,5,13,12,2,32,15.9375,2
Cam Spencer,Jaylen Wells,MEM,38,10,22,6,16,4,48,15.833333333333334,28
Joel Embiid,Paul George,PHI,11,28,5,22,6,6,39,15.794871794871796,17
Aaron Nesmith,T.J. McConnell,IND,11,28,10,9,1,19,39,15.794871794871796,17
De'Andre Hunter,Donovan Mitchell,CLE,11,28,5,17,6,11,39,15.794871794871796,17
DeMar DeRozan,Nique Clifford,SAC,23,12,11,9,12,3,35,15.771428571428572,11
Craig Porter Jr.,Evan Mobley,CLE,23,12,15,7,8,5,35,15.771428571428572,11
Grayson Allen,Jordan Goodwin,PHX,13,20,6,7,7,13,33,15.757575757575758,7
Brandon Ingram,Jakob Poeltl,TOR,13,20,13,15,0,5,33,15.757575757575758,7
Kevin Porter Jr.,Ryan Rollins,MIL,20,13,8,4,12,9,33,15.757575757575758,7
Justin Edwards,Tyrese Maxey,PHI,13,20,8,6,5,14,33,15.757575757575758,7
Herbert Jones,Jeremiah Fears,NOP,14,18,9,5,5,13,32,15.75,4
Anthony Black,Tristan da Silva,ORL,18,14,10,10,8,4,32,15.75,4
Onyeka Okongwu,Vít Krejčí,ATL,18,14,8,9,10,5,32,15.75,4
Precious Achiuwa,Russell Westbrook,SAC,10,36,3,29,7,7,46,15.652173913043478,26
Jusuf Nurkić,Svi Mykhailiuk,UTA,22,12,15,11,7,1,34,15.529411764705882,10
Baylor Scheierman,Jaylen Brown,BOS,12,22,7,4,5,18,34,15.529411764705882,10
Gary Trent Jr.,Giannis Antetokounmpo,MIL,16,15,15,2,1,13,31,15.483870967741936,1
Brandin Podziemski,De'Anthony Melton,GSW,15,16,6,5,9,11,31,15.483870967741936,1
Ayo Dosunmu,Tre Jones,CHI,11,26,11,14,0,12,37,15.45945945945946,15
Klay Thompson,Naji Marshall,DAL,10,34,6,6,4,28,44,15.454545454545455,24
Franz Wagner,Paolo Banchero,ORL,13,19,8,13,5,6,32,15.4375,6
Ben Sheppard,Jay Huff,IND,14,17,7,6,7,11,31,15.35483870967742,3
Austin Reaves,Jake LaRavia,LAL,17,14,12,6,5,8,31,15.35483870967742,3
Josh Hart,Miles McBride,NYK,17,14,6,10,11,4,31,15.35483870967742,3
Jericho Sims,Ryan Rollins,MIL,14,17,8,17,6,0,31,15.35483870967742,3
Donovan Clingan,Jerami Grant,POR,25,11,14,6,11,5,36,15.277777777777779,14
Andrew Nembhard,Bennedict Mathurin,IND,25,11,12,3,13,8,36,15.277777777777779,14
Peyton Watson,Tim Hardaway Jr.,DEN,21,12,4,7,17,5,33,15.272727272727273,9
Kevin Porter Jr.,Myles Turner,MIL,32,10,11,5,21,5,42,15.238095238095237,22
Jarace Walker,T.J. McConnell,IND,9,48,7,18,2,30,57,15.157894736842104,39
Cooper Flagg,P.J. Washington,DAL,31,10,18,8,13,2,41,15.121951219512194,21
Kelly Oubre Jr.,VJ Edgecombe,PHI,10,31,5,18,5,13,41,15.121951219512194,21
Mikal Bridges,Miles McBride,NYK,18,13,0,9,18,4,31,15.096774193548388,5
RJ Barrett,Sandro Mamukelashvili,TOR,18,13,12,7,6,6,31,15.096774193548388,5
DeMar DeRozan,Precious Achiuwa,SAC,30,10,24,9,6,1,40,15,20
Quentin Grimes,Trendon Watford,PHI,12,20,10,11,2,9,32,15,8
Ben Sheppard,Pascal Siakam,IND,20,12,14,3,6,9,32,15,8
GG Jackson,Jaylen Wells,MEM,15,15,5,11,10,4,30,15,0
Tristan Vukcevic,Will Riley,WAS,16,14,12,7,4,7,30,14.933333333333334,2
Jalen Brunson,Miles McBride,NYK,16,14,3,4,13,10,30,14.933333333333334,2
Desmond Bane,Jevon Carter,ORL,14,16,4,10,10,6,30,14.933333333333334,2
Norman Powell,Pelle Larsson,MIA,11,23,7,10,4,13,34,14.882352941176471,12
Bam Adebayo,Simone Fontecchio,MIA,23,11,7,7,16,4,34,14.882352941176471,12
Nique Clifford,Russell Westbrook,SAC,11,23,2,16,9,7,34,14.882352941176471,12
Jrue Holiday,Shaedon Sharpe,POR,29,10,22,3,7,7,39,14.871794871794872,19
Collin Murray-Boyles,Jamal Shead,TOR,9,42,3,39,6,3,51,14.823529411764707,33
Andrew Nembhard,Jarace Walker,IND,41,9,18,6,23,3,50,14.76,32
Ajay Mitchell,Chet Holmgren,OKC,41,9,27,5,14,4,50,14.76,32
Caleb Love,Deni Avdija,POR,11,22,7,5,4,17,33,14.666666666666666,11
Anthony Black,Tyus Jones,ORL,11,22,1,12,10,10,33,14.666666666666666,11
Dru Smith,Nikola Jović,MIA,22,11,14,5,8,6,33,14.666666666666666,11
Cade Cunningham,Javonte Green,DET,39,9,16,7,23,2,48,14.625,30
Darius Garland,Jarrett Allen,CLE,38,9,37,8,1,1,47,14.553191489361701,29
Ben Sheppard,Jarace Walker,IND,15,14,8,6,7,8,29,14.482758620689655,1
Trey Murphy III,Yves Missi,NOP,14,15,14,8,0,7,29,14.482758620689655,1
Dylan Harper,Luke Kornet,SAS,14,15,14,10,0,5,29,14.482758620689655,1
Derik Queen,Zion Williamson,NOP,26,10,26,7,0,3,36,14.444444444444445,16
Dru Smith,Simone Fontecchio,MIA,26,10,8,7,18,3,36,14.444444444444445,16
Cedric Coward,Santi Aldama,MEM,21,11,16,7,5,4,32,14.4375,10
Brandon Ingram,Ja'Kobe Walter,TOR,18,12,4,5,14,7,30,14.4,6
Clint Capela,Reed Sheppard,HOU,12,18,6,18,6,0,30,14.4,6
Anfernee Simons,Payton Pritchard,BOS,12,18,2,3,10,15,30,14.4,6
Maxime Raynaud,Nique Clifford,SAC,9,35,5,35,4,0,44,14.318181818181818,26
Collin Gillespie,Jalen Green,PHX,25,10,10,1,15,9,35,14.285714285714286,15
Brice Sensabaugh,Keyonte George,UTA,10,25,4,15,6,10,35,14.285714285714286,15
Baylor Scheierman,Payton Pritchard,BOS,9,34,1,10,8,24,43,14.232558139534884,25
Isaac Okoro,Tre Jones,CHI,9,34,8,18,1,16,43,14.232558139534884,25
Jabari Smith Jr.,Tari Eason,HOU,11,20,5,10,6,10,31,14.193548387096774,9
Aaron Wiggins,Ajay Mitchell,OKC,11,20,7,8,4,12,31,14.193548387096774,9
Nickeil Alexander-Walker,Zaccharie Risacher,ATL,24,10,5,4,19,6,34,14.117647058823529,14
DeMar DeRozan,Domantas Sabonis,SAC,12,17,11,17,1,0,29,14.068965517241379,5
Grant Williams,Kon Knueppel,CHA,17,12,8,4,9,8,29,14.068965517241379,5
AJ Green,Bobby Portis,MIL,17,12,8,1,9,11,29,14.068965517241379,5
Jonas Valančiūnas,Tim Hardaway Jr.,DEN,14,14,7,13,7,1,28,14,0
Derrick White,Jayson Tatum,BOS,14,14,7,6,7,8,28,14,0
Danny Wolf,Nolan Traore,BKN,10,23,5,8,5,15,33,13.93939393939394,13
Darius Garland,De'Andre Hunter,CLE,23,10,14,4,9,6,33,13.93939393939394,13
Ayo Dosunmu,Jalen Smith,CHI,23,10,14,7,9,3,33,13.93939393939394,13
Ace Bailey,Brice Sensabaugh,UTA,19,11,5,2,14,9,30,13.933333333333334,8
Jarred Vanderbilt,Luka Dončić,LAL,11,19,8,13,3,6,30,13.933333333333334,8
Miles Bridges,Moussa Diabaté,CHA,13,15,13,8,0,7,28,13.928571428571429,2
Harrison Barnes,Julian Champagnie,SAS,15,13,7,4,8,9,28,13.928571428571429,2
Aaron Wiggins,Jaylin Williams,OKC,15,13,7,7,8,6,28,13.928571428571429,2
Deni Avdija,Kris Murray,POR,15,13,5,10,10,3,28,13.928571428571429,2
Landry Shamet,Mikal Bridges,NYK,13,15,5,3,8,12,28,13.928571428571429,2
Luke Kornet,Stephon Castle,SAS,8,52,5,52,3,0,60,13.866666666666667,44
Jaren Jackson Jr.,Vince Williams Jr.,MEM,9,30,1,16,8,14,39,13.846153846153847,21
Dillon Brooks,Mark Williams,PHX,30,9,29,4,1,5,39,13.846153846153847,21
Isaiah Hartenstein,Shai Gilgeous-Alexander,OKC,9,30,9,30,0,0,39,13.846153846153847,21
Bilal Coulibaly,Bub Carrington,WAS,10,22,5,15,5,7,32,13.75,12
Jayson Tatum,Neemias Queta,BOS,22,10,22,4,0,6,32,13.75,12
Collin Murray-Boyles,Immanuel Quickley,TOR,10,22,2,22,8,0,32,13.75,12
Dejounte Murray,Saddiq Bey,NOP,22,10,7,5,15,5,32,13.75,12
Derrick White,Hugo González,BOS,22,10,14,4,8,6,32,13.75,12
Devin Booker,Jalen Green,PHX,16,12,8,4,8,8,28,13.714285714285714,4
Keldon Johnson,Victor Wembanyama,SAS,11,18,10,16,1,2,29,13.655172413793103,7
Jalen Smith,Matas Buzelis,CHI,11,18,9,11,2,7,29,13.655172413793103,7
Malik Monk,Russell Westbrook,SAC,9,28,5,11,4,17,37,13.621621621621621,19
Gary Payton II,Pat Spencer,GSW,9,28,7,24,2,4,37,13.621621621621621,19
Miles McBride,OG Anunoby,NYK,21,10,15,1,6,9,31,13.548387096774194,11
Jordan Clarkson,Mikal Bridges,NYK,10,21,6,8,4,13,31,13.548387096774194,11
Ivica Zubac,John Collins,LAC,27,9,20,9,7,0,36,13.5,18
Collin Gillespie,Dillon Brooks,PHX,27,9,16,3,11,6,36,13.5,18
Ajay Mitchell,Alex Caruso,OKC,14,13,5,8,9,5,27,13.481481481481481,1
Bilal Coulibaly,Kyshawn George,WAS,14,13,7,7,7,6,27,13.481481481481481,1
Derrick White,Luka Garza,BOS,26,9,17,7,9,2,35,13.371428571428572,17
Collin Sexton,LaMelo Ball,CHA,10,20,0,8,10,12,30,13.333333333333334,10
Kyle Filipowski,Lauri Markkanen,UTA,20,10,13,6,7,4,30,13.333333333333334,10
Caleb Love,Donovan Clingan,POR,20,10,14,5,6,5,30,13.333333333333334,10
Caleb Love,Shaedon Sharpe,POR,15,12,10,5,5,7,27,13.333333333333334,3
Malik Monk,Nique Clifford,SAC,12,15,4,8,8,7,27,13.333333333333334,3
Austin Reaves,Marcus Smart,LAL,12,15,6,9,6,6,27,13.333333333333334,3
CJ McCollum,Khris Middleton,WAS,12,15,8,4,4,11,27,13.333333333333334,3
Bruce Brown,Tim Hardaway Jr.,DEN,39,8,18,7,21,1,47,13.27659574468085,31
Cooper Flagg,Daniel Gafford,DAL,25,9,25,6,0,3,34,13.235294117647058,16
Immanuel Quickley,Jamal Shead,TOR,9,25,3,9,6,16,34,13.235294117647058,16
Nique Clifford,Precious Achiuwa,SAC,25,9,22,5,3,4,34,13.235294117647058,16
Baylor Scheierman,Sam Hauser,BOS,19,10,6,1,13,9,29,13.10344827586207,9
Malik Monk,Precious Achiuwa,SAC,19,10,17,5,2,5,29,13.10344827586207,9
Dyson Daniels,Vít Krejčí,ATL,19,10,6,10,13,0,29,13.10344827586207,9
Bennedict Mathurin,Pascal Siakam,IND,10,19,5,13,5,6,29,13.10344827586207,9
Bruce Brown,Jonas Valančiūnas,DEN,19,10,17,8,2,2,29,13.10344827586207,9
D'Angelo Russell,Max Christie,DAL,19,10,9,4,10,6,29,13.10344827586207,9
Jimmy Butler III,Moses Moody,GSW,24,9,5,5,19,4,33,13.090909090909092,15
Al Horford,De'Anthony Melton,GSW,11,16,4,9,7,7,27,13.037037037037036,5
Jalen Johnson,Luke Kennard,ATL,16,11,2,7,14,4,27,13.037037037037036,5
Andrew Nembhard,Ben Sheppard,IND,16,11,6,8,10,3,27,13.037037037037036,5
Naz Reid,Rudy Gobert,MIN,13,13,13,6,0,7,26,13,0
Ben Sheppard,T.J. McConnell,IND,9,23,7,10,2,13,32,12.9375,14
Ayo Dosunmu,Josh Giddey,CHI,9,23,2,11,7,12,32,12.9375,14
Donovan Mitchell,James Harden,CLE,9,23,0,16,9,7,32,12.9375,14
Ajay Mitchell,Isaiah Joe,OKC,23,9,5,3,18,6,32,12.9375,14
Duncan Robinson,Paul Reed,DET,12,14,11,4,1,10,26,12.923076923076923,2
Aaron Nesmith,Jarace Walker,IND,12,14,4,7,8,7,26,12.923076923076923,2
Day'Ron Sharpe,Nolan Traore,BKN,12,14,6,12,6,2,26,12.923076923076923,2
Daniss Jenkins,Jalen Duren,DET,33,8,33,6,0,2,41,12.878048780487806,25
Ayo Dosunmu,Kevin Huerter,CHI,10,18,3,11,7,7,28,12.857142857142858,8
Coby White,Josh Giddey,CHI,10,18,5,4,5,14,28,12.857142857142858,8
Isaiah Hartenstein,Jalen Williams,OKC,10,18,7,18,3,0,28,12.857142857142858,8
Kelly Oubre Jr.,Quentin Grimes,PHI,10,18,5,11,5,7,28,12.857142857142858,8
Evan Mobley,Jarrett Allen,CLE,18,10,18,8,0,2,28,12.857142857142858,8
Dyson Daniels,Zaccharie Risacher,ATL,32,8,24,7,8,1,40,12.8,24
Dennis Schröder,Donovan Mitchell,CLE,22,9,11,6,11,3,31,12.774193548387096,13
Devin Vassell,Luke Kornet,SAS,8,31,8,20,0,11,39,12.717948717948717,23
Nikola Jokić,Spencer Jones,DEN,31,8,17,7,14,1,39,12.717948717948717,23
Naji Marshall,Ryan Nembhard,DAL,8,31,2,24,6,7,39,12.717948717948717,23
Bub Carrington,CJ McCollum,WAS,15,11,7,4,8,7,26,12.692307692307692,4
Jalen Pickett,Jamal Murray,DEN,11,15,5,8,6,7,26,12.692307692307692,4
Daniel Gafford,Klay Thompson,DAL,15,11,7,11,8,0,26,12.692307692307692,4
Bilal Coulibaly,Tre Johnson,WAS,17,10,8,6,9,4,27,12.592592592592593,7
Andre Drummond,VJ Edgecombe,PHI,10,17,7,9,3,8,27,12.592592592592593,7
Bam Adebayo,Kasparas Jakučionis,MIA,10,17,0,10,10,7,27,12.592592592592593,7
Domantas Sabonis,Russell Westbrook,SAC,8,29,4,27,4,2,37,12.54054054054054,21
Brook Lopez,Derrick Jones Jr.,LAC,13,12,10,9,3,3,25,12.48,1
Jalen Green,Royce O'Neale,PHX,13,12,0,2,13,10,25,12.48,1
Giannis Antetokounmpo,Kyle Kuzma,MIL,12,13,6,13,6,0,25,12.48,1
Royce O'Neale,Ryan Dunn,PHX,13,12,7,1,6,11,25,12.48,1
Jose Alvarado,Zion Williamson,NOP,13,12,13,1,0,11,25,12.48,1
Caleb Love,Jerami Grant,POR,13,12,6,3,7,9,25,12.48,1
Jalen Smith,Kevin Huerter,CHI,12,13,6,10,6,3,25,12.48,1
Ajay Mitchell,Cason Wallace,OKC,13,12,4,4,9,8,25,12.48,1
Kevin Durant,Steven Adams,HOU,12,13,12,11,0,2,25,12.48,1
Mark Williams,Royce O'Neale,PHX,8,28,4,28,4,0,36,12.444444444444445,20
Jaylen Brown,Luka Garza,BOS,28,8,16,6,12,2,36,12.444444444444445,20
Noah Clowney,Nolan Traore,BKN,9,20,4,4,5,16,29,12.413793103448276,11
Brandon Miller,Ryan Kalkbrenner,CHA,20,9,20,2,0,7,29,12.413793103448276,11
Cedric Coward,Vince Williams Jr.,MEM,9,20,3,12,6,8,29,12.413793103448276,11
Santi Aldama,Vince Williams Jr.,MEM,9,20,1,13,8,7,29,12.413793103448276,11
Jrue Holiday,Kris Murray,POR,20,9,16,3,4,6,29,12.413793103448276,11
Collin Gillespie,Mark Williams,PHX,27,8,27,1,0,7,35,12.342857142857143,19
Oso Ighodaro,Royce O'Neale,PHX,14,11,1,11,13,0,25,12.32,3
Yves Missi,Zion Williamson,NOP,14,11,14,11,0,0,25,12.32,3
Caleb Love,Toumani Camara,POR,14,11,6,1,8,10,25,12.32,3
Day'Ron Sharpe,Ziaire Williams,BKN,16,10,10,10,6,0,26,12.307692307692308,6
Gui Santos,Will Richard,GSW,10,16,4,9,6,7,26,12.307692307692308,6
Deni Avdija,Sidy Cissoko,POR,16,10,8,4,8,6,26,12.307692307692308,6
Corey Kispert,Nickeil Alexander-Walker,ATL,10,16,3,8,7,8,26,12.307692307692308,6
Jeremiah Fears,Karlo Matković,NOP,26,8,18,5,8,3,34,12.235294117647058,18
Jaylen Brown,Jordan Walsh,BOS,26,8,16,4,10,4,34,12.235294117647058,18
Quinten Post,Stephen Curry,GSW,8,26,6,12,2,14,34,12.235294117647058,18
Isaiah Collier,Keyonte George,UTA,48,7,27,7,21,0,55,12.218181818181819,41
De'Andre Hunter,Jaylon Tyson,CLE,9,19,5,7,4,12,28,12.214285714285714,10
Aaron Holiday,Alperen Sengun,HOU,9,19,7,3,2,16,28,12.214285714285714,10
