player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Cody Williams,Kyle Filipowski,UTA,26,22,18,20,8,2,48,23.833333333333332,4
Coby White,Nikola Vučević,CHI,39,17,28,8,11,9,56,23.678571428571427,22
Bruce Brown,Jamal Murray,DEN,20,29,11,16,9,13,49,23.6734693877551,9
Michael Porter Jr.,Noah Clowney,BKN,20,29,9,13,11,16,49,23.6734693877551,9
Andrew Wiggins,Norman Powell,MIA,29,20,14,9,15,11,49,23.6734693877551,9
Jaylen Brown,Sam Hauser,BOS,34,18,7,13,27,5,52,23.53846153846154,16
Jimmy Butler III,Stephen Curry,GSW,23,24,6,20,17,4,47,23.48936170212766,1
Cason Wallace,Isaiah Hartenstein,OKC,23,24,23,14,0,10,47,23.48936170212766,1
Luka Dončić,Rui Hachimura,LAL,70,14,35,4,35,10,84,23.333333333333332,56
Collin Sexton,Kon Knueppel,CHA,37,17,20,10,17,7,54,23.296296296296298,20
Bub Carrington,Tre Johnson,WAS,33,18,14,6,19,12,51,23.294117647058822,15
Immanuel Quickley,Jakob Poeltl,TOR,30,19,30,10,0,9,49,23.26530612244898,11
Dillon Brooks,Royce O'Neale,PHX,21,26,3,11,18,15,47,23.23404255319149,5
Devin Booker,Dillon Brooks,PHX,66,14,26,10,40,4,80,23.1,52
Herbert Jones,Trey Murphy III,NOP,24,22,14,6,10,16,46,22.956521739130434,2
Donovan Mitchell,Sam Merrill,CLE,35,17,6,7,29,10,52,22.884615384615383,18
Ace Bailey,Keyonte George,UTA,17,35,9,24,8,11,52,22.884615384615383,18
Anfernee Simons,Jaylen Brown,BOS,21,25,13,4,8,21,46,22.82608695652174,4
Bam Adebayo,Tyler Herro,MIA,21,25,11,19,10,6,46,22.82608695652174,4
Cam Spencer,Jock Landale,MEM,34,17,25,4,9,13,51,22.666666666666668,17
Kon Knueppel,Moussa Diabaté,CHA,20,26,20,16,0,10,46,22.608695652173914,6
Josh Giddey,Matas Buzelis,CHI,85,13,47,3,38,10,98,22.551020408163264,72
CJ McCollum,Onyeka Okongwu,ATL,30,18,16,8,14,10,48,22.5,12
DeMar DeRozan,Dennis Schröder,SAC,18,30,6,22,12,8,48,22.5,12
Bub Carrington,Kyshawn George,WAS,23,22,13,9,10,13,45,22.488888888888887,1
Austin Reaves,Deandre Ayton,LAL,57,14,57,5,0,9,71,22.47887323943662,43
Julian Champagnie,Stephon Castle,SAS,13,81,9,20,4,61,94,22.404255319148938,68
Cam Spencer,Kentavious Caldwell-Pope,MEM,24,21,14,8,10,13,45,22.4,3
Pelle Larsson,Tyler Herro,MIA,24,21,15,13,9,8,45,22.4,3
Immanuel Quickley,Sandro Mamukelashvili,TOR,44,15,25,4,19,11,59,22.372881355932204,29
Derik Queen,Saddiq Bey,NOP,37,16,25,9,12,7,53,22.339622641509433,21
Anthony Black,Wendell Carter Jr.,ORL,43,15,30,10,13,5,58,22.24137931034483,28
Giannis Antetokounmpo,Myles Turner,MIL,43,15,16,14,27,1,58,22.24137931034483,28
Jaime Jaquez Jr.,Pelle Larsson,MIA,29,18,23,15,6,3,47,22.21276595744681,11
Keyonte George,Svi Mykhailiuk,UTA,32,17,9,5,23,12,49,22.20408163265306,15
Ace Bailey,Kyle Filipowski,UTA,17,32,10,20,7,12,49,22.20408163265306,15
Devin Booker,Mark Williams,PHX,53,14,53,10,0,4,67,22.149253731343283,39
Julius Randle,Rudy Gobert,MIN,42,15,42,10,0,5,57,22.105263157894736,27
Jamal Murray,Jonas Valančiūnas,DEN,42,15,40,10,2,5,57,22.105263157894736,27
Alex Sarr,Bub Carrington,WAS,15,42,3,37,12,5,57,22.105263157894736,27
Jusuf Nurkić,Lauri Markkanen,UTA,41,15,30,10,11,5,56,21.964285714285715,26
Desmond Bane,Tristan da Silva,ORL,26,19,13,11,13,8,45,21.955555555555556,7
De'Aaron Fox,Luke Kornet,SAS,23,21,23,14,0,7,44,21.954545454545453,2
Grayson Allen,Oso Ighodaro,PHX,23,21,23,4,0,17,44,21.954545454545453,2
Jakob Poeltl,RJ Barrett,TOR,17,30,15,30,2,0,47,21.70212765957447,13
Jaden McDaniels,Rudy Gobert,MIN,39,15,39,11,0,4,54,21.666666666666668,24
Jaime Jaquez Jr.,Simone Fontecchio,MIA,39,15,14,10,25,5,54,21.666666666666668,24
Bobby Portis,Kyle Kuzma,MIL,19,25,10,15,9,10,44,21.59090909090909,6
Davion Mitchell,Pelle Larsson,MIA,47,14,29,7,18,7,61,21.57377049180328,33
Gary Payton II,Stephen Curry,GSW,17,29,6,26,11,3,46,21.434782608695652,12
AJ Green,Kyle Kuzma,MIL,23,20,15,1,8,19,43,21.3953488372093,3
DeMar DeRozan,Zach LaVine,SAC,37,15,17,8,20,7,52,21.346153846153847,22
Nic Claxton,Nolan Traore,BKN,16,32,12,32,4,0,48,21.333333333333332,16
Alex Sarr,CJ McCollum,WAS,18,26,9,20,9,6,44,21.272727272727273,8
Davion Mitchell,Norman Powell,MIA,93,12,44,6,49,6,105,21.257142857142856,81
Alex Sarr,Tre Johnson,WAS,19,24,8,18,11,6,43,21.209302325581394,5
Jarace Walker,Pascal Siakam,IND,19,24,17,13,2,11,43,21.209302325581394,5
Donovan Clingan,Jrue Holiday,POR,13,56,9,45,4,11,69,21.10144927536232,43
Davion Mitchell,Tyler Herro,MIA,35,15,17,7,18,8,50,21,20
Kevin Huerter,Nikola Vučević,CHI,21,21,18,13,3,8,42,21,0
Brice Sensabaugh,Cody Williams,UTA,18,25,15,12,3,13,43,20.930232558139537,7
Duncan Robinson,Tobias Harris,DET,18,25,10,8,8,17,43,20.930232558139537,7
Naji Marshall,P.J. Washington,DAL,30,16,16,11,14,5,46,20.869565217391305,14
De'Andre Hunter,Evan Mobley,CLE,17,27,14,20,3,7,44,20.863636363636363,10
Jordan Miller,Kobe Sanders,LAC,23,19,7,12,16,7,42,20.80952380952381,4
Jalen Williams,Shai Gilgeous-Alexander,OKC,19,23,14,12,5,11,42,20.80952380952381,4
Collin Gillespie,Grayson Allen,PHX,40,14,11,2,29,12,54,20.74074074074074,26
Collin Murray-Boyles,Scottie Barnes,TOR,14,40,8,36,6,4,54,20.74074074074074,26
Cameron Johnson,Jamal Murray,DEN,15,33,4,6,11,27,48,20.625,18
Dylan Harper,Stephon Castle,SAS,21,20,9,11,12,9,41,20.48780487804878,1
Jalen Suggs,Wendell Carter Jr.,ORL,38,14,29,6,9,8,52,20.46153846153846,24
Harrison Barnes,Stephon Castle,SAS,13,48,5,12,8,36,61,20.459016393442624,35
Isaiah Collier,Kyle Filipowski,UTA,48,13,31,12,17,1,61,20.459016393442624,35
Franz Wagner,Jalen Suggs,ORL,15,32,6,26,9,6,47,20.425531914893618,17
Jordan Poole,Zion Williamson,NOP,22,19,22,4,0,15,41,20.390243902439025,3
Bub Carrington,Justin Champagnie,WAS,47,13,36,2,11,11,60,20.366666666666667,34
