seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31969,2025,4311,Cameron Payne,NA,PG,30,10,NBA,NYK,72,1090,13.8,0.532,0.574,0.121,1.5,9.4,5.5,25.5,1.8,1.4,10,20.8,1.3,1,2.3,0.099,-0.1,-0.2,-0.2,0.5
31970,2025,4382,Caris LeVert,NA,SG,30,9,NBA,TOT,64,1596,15.2,0.582,0.474,0.259,2.8,11,6.9,18.1,1.7,1.9,10.2,19.4,2.4,1.6,4,0.119,0.8,0.1,0.9,1.2
31971,2025,4382,Caris LeVert,NA,SF,30,9,NBA,CLE,38,904,14.4,0.58,0.497,0.279,2.7,9.9,6.4,20,1.8,1.9,13.2,18.1,1.3,1,2.3,0.124,0.5,0.7,1.2,0.7
31972,2025,4382,Caris LeVert,NA,SG,30,9,NBA,ATL,26,692,16.2,0.583,0.452,0.239,2.9,12.5,7.6,15.7,1.6,1.9,7,21.2,1.1,0.5,1.6,0.112,1.1,-0.7,0.4,0.4
31973,2025,5124,Cason Wallace,NA,SG,21,2,NBA,OKC,68,1876,12.3,0.562,0.425,0.076,4.1,8.8,6.5,11.5,3.1,1.9,10.5,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5
31974,2025,4917,Charles Bassey,NA,C,24,4,NBA,SAS,36,376,19,0.597,0,0.282,15.9,27.4,21.7,6.6,1.8,7.2,14.9,17.5,0.5,0.6,1.1,0.136,-1.7,0.6,-1.1,0.1
31975,2025,5125,Chet Holmgren,NA,C,22,2,NBA,OKC,32,877,19.2,0.599,0.34,0.393,6,25,15.7,9.7,1.3,8.2,12.3,22,1.1,2,3.2,0.173,0.5,1.9,2.4,1
31976,2025,4481,Chris Boucher,NA,PF,32,8,NBA,TOR,50,862,18.7,0.615,0.522,0.235,8.5,19.6,13.9,5.9,1.3,2.8,6.6,21.2,1.7,1,2.7,0.148,2.9,-0.6,2.3,0.9
31977,2025,4919,Chris Duarte,NA,SG,27,4,NBA,CHI,17,74,16.5,0.61,0.577,0.308,7.2,20.9,14.2,16.6,0,0,3.3,17.2,0.2,0,0.3,0.171,2.2,-1,1.2,0.1
31978,2025,5126,Chris Livingston,NA,SF,21,2,NBA,MIL,21,106,9.8,0.441,0.296,0.593,10.7,24.6,17.9,6,2.3,0,15,16.6,-0.1,0.2,0.1,0.035,-5,-1.1,-6.1,-0.1
31979,2025,3585,Chris Paul,NA,PG,39,20,NBA,SAS,82,2292,14.7,0.58,0.636,0.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6
31980,2025,5036,Christian Braun,NA,SG,23,3,NBA,DEN,79,2675,16,0.665,0.273,0.261,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6
31981,2025,5037,Christian Koloko,NA,C,24,2,NBA,LAL,37,342,13,0.624,0.061,0.212,11.9,18.2,15.1,6.4,1.2,4.4,14.3,10.8,0.5,0.4,0.9,0.13,-3,0.2,-2.8,-0.1
31982,2025,4818,Chuma Okeke,NA,PF,26,5,NBA,TOT,9,196,15.3,0.641,0.7,0.075,11.7,15.5,13.5,10.5,1.3,2,6.8,9.8,0.5,0.1,0.6,0.145,1.6,-1.8,-0.2,0.1
31983,2025,4818,Chuma Okeke,NA,PF,26,5,NBA,PHI,7,171,16.5,0.699,0.667,0.091,12.7,15.9,14.2,10.6,1.4,1.7,8,9.5,0.5,0.1,0.6,0.162,2.3,-2,0.3,0.1
