player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Jake LaRavia,PF,23,3,0.591,14.4,0.8,0.36923076923076925,0.16923076923076924,0.4153846153846154,0.953846153846154
Jakob Poeltl,C,29,9,0.641,18.7,1.7,0.2459016393442623,0.6557377049180327,0.29508196721311475,1.1967213114754096
Jalen Brunson,PG,28,7,0.605,29.5,3.1,0.13333333333333333,0.85,0.13333333333333333,1.1166666666666667
Jalen Duren,C,21,3,0.703,16.4,2.7,0.08196721311475409,0.4262295081967213,0.11475409836065574,0.6229508196721312
Jalen Green,SG,22,4,0.544,27.3,1.7,0.782608695652174,0.9239130434782609,0.14130434782608695,1.8478260869565217
Jalen Pickett,SG,25,2,0.545,13.2,0.1,0.75,0.14130434782608695,0.532608695652174,1.4239130434782608
Jalen Smith,C,24,5,0.586,21,0.7,0.6885245901639344,0.7868852459016393,0.4918032786885246,1.9672131147540983
Jalen Williams,SG,23,3,0.573,27.5,3.4,0.4782608695652174,0.9456521739130435,0.043478260869565216,1.467391304347826
Jalen Wilson,PF,24,2,0.541,16.6,-1,0.7692307692307693,0.46153846153846156,0.9692307692307692,2.2
Jamal Murray,PG,27,8,0.584,24,1.7,0.26666666666666666,0.6833333333333333,0.21666666666666667,1.1666666666666665
Jamal Shead,PG,22,1,0.499,18.6,-0.8,0.9,0.38333333333333336,0.9333333333333333,2.216666666666667
James Harden,PG,35,16,0.582,29.6,4.4,0.2833333333333333,0.8666666666666667,0.05,1.2
Jamison Battle,SF,23,1,0.59,15.3,-0.1,0.3448275862068966,0.22413793103448276,0.6724137931034483,1.2413793103448276
Jarace Walker,PF,21,2,0.59,17.1,0.3,0.4,0.49230769230769234,0.676923076923077,1.5692307692307694
Jared Butler,SG,24,4,0.549,23.6,0.3,0.6956521739130435,0.7934782608695652,0.4891304347826087,1.9782608695652173
Jaren Jackson Jr.,C,25,7,0.591,28.1,2.4,0.639344262295082,0.9672131147540983,0.16393442622950818,1.7704918032786885
Jarrett Allen,C,26,8,0.724,15.9,3.6,0,0.3770491803278688,0.04918032786885246,0.4262295081967213
Javonte Green,SG,31,6,0.541,11.8,-0.1,0.8152173913043478,0.03260869565217391,0.6630434782608695,1.5108695652173911
Jaxson Hayes,C,24,6,0.72,12.4,0.5,0.01639344262295082,0.08196721311475409,0.6065573770491803,0.7049180327868853
Jay Huff,C,26,4,0.666,19.6,1.1,0.14754098360655737,0.7213114754098361,0.4098360655737705,1.278688524590164
Jaylen Brown,SF,28,9,0.555,28.9,1.1,0.7068965517241379,0.9655172413793104,0.2413793103448276,1.913793103448276
