,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
238,201580,JaVale McGee,1610612756,PHX,34.0,71,15.7,6.06,4.72,1.34,0.49,0.0,2.42,5.18,0.23,0.08,0.31,0.727,0.273,0.52,0.83,1.35,1.14,0.77,0.385,0.615,0.976,0.663,1610612756,Suns,63,16,79,0.8987341772151899,0.15229885057471265,0.9597701149425287,0.08620689655172414,0.8390804597701149,0.04885057471264368,2.086206896551724
240,1630183,Jaden McDaniels,1610612750,MIN,21.0,68,25.9,7.44,4.37,3.07,1.62,0.01,0.28,0.69,0.38,0.37,0.75,0.51,0.49,0.09,0.63,0.72,0.65,0.32,0.122,0.878,0.978,0.489,1610612750,Timberwolves,45,35,80,0.85,0.35919540229885055,0.7959770114942529,0.6637931034482759,0.5545977011494253,0.7758620689655172,3.149425287356322
242,203109,Jae Crowder,1610612756,PHX,31.0,66,28.2,6.11,3.18,2.92,2.24,0.03,1.02,2.38,0.23,0.36,0.59,0.385,0.615,0.06,0.85,0.91,0.79,0.44,0.067,0.933,0.963,0.537,1610612756,Suns,63,16,79,0.8354430379746836,0.5459770114942529,0.6235632183908046,0.8333333333333334,0.646551724137931,0.6580459770114943,3.3074712643678166
243,1630256,Jae'Sean Tate,1610612745,HOU,26.0,76,26.3,5.66,3.3,2.36,1.53,0.24,0.76,1.96,0.43,0.43,0.87,0.5,0.5,0.34,1.24,1.58,1.25,0.55,0.217,0.783,0.872,0.385,1610612745,Rockets,20,60,80,0.95,0.9597701149425287,0.6149425287356322,0.5862068965517241,0.7959770114942529,0.8764367816091954,3.833333333333333
247,1627751,Jakob Poeltl,1610612759,SAS,26.0,66,28.9,14.29,11.65,2.64,1.67,0.03,5.52,12.18,0.35,0.26,0.61,0.575,0.425,0.71,1.62,2.33,2.15,1.2,0.305,0.695,0.993,0.552,1610612759,Spurs,34,45,79,0.8354430379746836,0.5373563218390804,1.0,0.5747126436781609,0.8591954022988506,0.3017241379310345,3.2729885057471266
248,1628973,Jalen Brunson,1610612742,DAL,25.0,76,32.1,3.76,1.34,2.42,1.04,0.22,0.34,0.82,0.28,0.34,0.62,0.447,0.553,0.01,0.5,0.51,0.47,0.12,0.026,0.974,0.947,0.237,1610612742,Mavericks,49,30,79,0.9620253164556962,0.9137931034482759,0.08620689655172414,0.10344827586206896,0.34770114942528735,0.45689655172413796,1.9080459770114941
249,1630224,Jalen Green,1610612745,HOU,20.0,65,31.7,4.43,2.25,2.18,1.32,0.05,0.12,0.28,0.31,0.31,0.62,0.5,0.5,0.0,0.05,0.05,0.03,0.0,0.0,1.0,0.667,0.0,1610612745,Rockets,20,60,80,0.8125,0.6810344827586207,0.1925287356321839,0.21264367816091953,0.005747126436781609,0.3764367816091954,1.468390804597701
251,1629667,Jalen McDaniels,1610612766,CHA,24.0,52,16.1,4.79,2.42,2.37,0.94,0.02,0.29,0.62,0.13,0.13,0.27,0.5,0.5,0.0,0.63,0.63,0.56,0.23,0.0,1.0,0.967,0.4,1610612766,Hornets,40,39,79,0.6582278481012658,0.6020114942528736,0.8160919540229885,0.5905172413793104,0.7385057471264368,0.22126436781609196,2.968390804597701
252,1630188,Jalen Smith,1610612754,IND,22.0,51,18.1,6.04,4.06,1.98,0.33,0.02,1.61,3.55,0.18,0.12,0.29,0.6,0.4,0.55,0.73,1.27,1.12,0.8,0.431,0.569,0.95,0.683,1610612754,Pacers,25,55,80,0.6375,0.5632183908045977,0.882183908045977,0.005747126436781609,0.7528735632183908,0.10919540229885058,2.3132183908045976
253,1630591,Jalen Suggs,1610612753,ORL,20.0,47,27.5,4.91,2.57,2.34,2.49,0.17,0.3,0.72,0.36,0.34,0.7,0.515,0.485,0.0,0.26,0.26,0.19,0.04,0.0,1.0,0.9,0.2,1610612753,Magic,21,59,80,0.5875,0.9022988505747126,0.4224137931034483,0.9051724137931034,0.15517241379310345,0.617816091954023,3.002873563218391
