player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
4192,Phil Pressey,GSW,2017,NA,35000,0,94143000,3.71774853148933e-4,0,0,0,35000,3.71774853148933e-4
4192,Phil Pressey,PHI,2016,3,172739,0,70000000,0.0024677,0,0,0,172739,0.0024677
4192,Phil Pressey,PHO,2016,3,111444,-0.1,70000000,0.0015920571428571428,-62.811815799863616,-0.27,-460975.6097560976,572419.6097560977,0.008177422996515681
4193,Ray McCallum,CHO,2017,NA,119494,0,94143000,0.001269281837205103,0,0,0,119494,0.001269281837205103
4193,Ray McCallum,DET,2017,NA,11949,0,94143000,1.2692393486504573e-4,0,0,0,11949,1.2692393486504573e-4
4193,Ray McCallum,MEM,2016,3,111444,-0.1,70000000,0.0015920571428571428,-62.811815799863616,-0.27,-460975.6097560976,572419.6097560977,0.008177422996515681
4193,Ray McCallum,SAC,2015,2,816482,0,63065000,0.012946674066439389,0,0,0,816482,0.012946674066439389
4193,Ray McCallum,SAS,2016,3,947276,0,70000000,0.013532514285714286,0,0,0,947276,0.013532514285714286
4194,Reggie Bullock,DAL,2022,9,9536000,0.3,112414000,0.08482929172522995,3.5365142617449665,0.81,2220861.951219512,7315138.048780488,0.06507319416425435
4194,Reggie Bullock,DET,2016,3,1252440,0.3,70000000,0.017892,16.767270288397047,0.81,1382926.8292682928,-130486.82926829276,-0.001864097560975611
4194,Reggie Bullock,DET,2017,4,2255644,0.3,94143000,0.023959763338750623,12.520991787711182,0.81,1859898.2926829269,395745.70731707313,0.004203665777775014
4194,Reggie Bullock,DET,2018,5,2500000,1.2,99093000,0.025228825446802498,47.56464,3.24,7830763.902439024,-5330763.902439024,-0.05379556479709994
4194,Reggie Bullock,LAC,2014,1,1149000,-0.1,58679000,0.019581110789209086,-5.106962576153177,-0.27,-386422.6829268293,1535422.6829268294,0.026166476642867625
4194,Reggie Bullock,LAL,2019,6,2500000,0,101869000,0.024541322679127113,0,0,0,2500000,0.024541322679127113
4194,Reggie Bullock,NYK,2020,7,4000000,-0.2,109140000,0.03665017408832692,-5.457,-0.54,-1437453.6585365855,5437453.658536585,0.04982090579564399
4194,Reggie Bullock,NYK,2021,8,4200000,0.9,109140000,0.038482682792743264,23.38714285714286,2.43,6468541.463414635,-2268541.4634146346,-0.02078560989018357
4194,Reggie Bullock,PHO,2015,2,1200720,-0.2,63065000,0.019039403789740745,-10.504530614964354,-0.54,-830612.1951219513,2031332.1951219514,0.03221013549705782
4195,Ricky Ledo,DAL,2015,2,816482,-0.1,63065000,0.012946674066439389,-7.723991465825334,-0.27,-415306.09756097564,1231788.0975609757,0.019532039920097926
4195,Ricky Ledo,NYK,2015,2,96056,-0.3,63065000,0.0015231269325299294,-196.9632297826268,-0.81,-1245918.2926829269,1341974.2926829269,0.02127922449350554
4196,Robbie Hummel,DEN,2017,NA,150000,0,94143000,0.0015933207992097128,0,0,0,150000,0.0015933207992097128
4196,Robbie Hummel,MIN,2015,2,880000,-0.4,63065000,0.01395385713153096,-28.665909090909093,-1.08,-1661224.3902439026,2541224.390243903,0.040295320546165116
4197,Robert Covington,HOU,2015,NA,150000,0,63065000,0.0023784983746927774,0,0,0,150000,0.0023784983746927774
4197,Robert Covington,HOU,2020,7,11301219,0.4,109140000,0.10354791094007697,3.862946112273375,1.08,2874907.317073171,8426311.68292683,0.07720644752544283
