player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Gene Littles,1974,PG,30,5,0.507,15.9,1.5,0.36363636363636365,0.38461538461538464,0.29545454545454547,1.0437062937062938
Gene Moore,1974,C,28,6,0.464,18.5,-0.1,0.9047619047619048,0.23076923076923078,0.9285714285714286,2.064102564102564
George Adams,1974,SF,24,2,0.531,17.2,0.5,0.21428571428571427,0.23529411764705882,0.5,0.9495798319327731
George Carter,1974,SF,30,6,0.504,24.3,0,0.48214285714285715,0.8823529411764706,0.625,1.9894957983193278
George Irvine,1974,SF,25,4,0.555,21.9,0.9,0.10714285714285714,0.6470588235294118,0.35714285714285715,1.111344537815126
George Karl,1974,PG,22,1,0.52,20.6,1,0.2727272727272727,0.7692307692307693,0.4318181818181818,1.473776223776224
George McGinnis,1974,PF,23,3,0.518,28.6,3.7,0.3,1,0.02,1.32
George Thompson,1974,SG,26,5,0.55,23.5,2.7,0.041666666666666664,0.8125,0.041666666666666664,0.8958333333333333
Gerald Govan,1974,C,32,7,0.496,11.2,0.9,0.6428571428571429,0,0.5714285714285714,1.2142857142857144
Goo Kennedy,1974,SF,24,3,0.574,14,1,0.017857142857142856,0,0.30357142857142855,0.3214285714285714
James Silas,1974,PG,24,2,0.55,19.7,1.8,0.11363636363636363,0.6923076923076923,0.1590909090909091,0.965034965034965
Jim Chones,1974,C,24,2,0.543,21.9,0.9,0.19047619047619047,0.8461538461538461,0.5714285714285714,1.608058608058608
Jim Eakins,1974,C,27,6,0.587,18.7,3.2,0.023809523809523808,0.3076923076923077,0.16666666666666666,0.4981684981684982
Jimmy Jones,1974,PG,29,7,0.594,18.7,3.3,0,0.6153846153846154,0.022727272727272728,0.6381118881118881
Joe Caldwell,1974,SF,32,10,0.498,20.4,2.1,0.5357142857142857,0.5294117647058824,0.16071428571428573,1.2258403361344539
John Beasley,1974,PF,29,7,0.49,18,0,0.54,0.42857142857142855,0.74,1.7085714285714286
John Williamson,1974,SG,22,1,0.524,21.8,0.4,0.1875,0.4375,0.6041666666666666,1.2291666666666665
Julius Erving,1974,SF,23,3,0.562,27.2,9,0.07142857142857142,0.9411764705882353,0,1.0126050420168067
Julius Keye,1974,PF,27,5,0.481,6.7,1.7,0.68,0,0.22,0.9
Kevin Joyce,1974,SG,22,1,0.441,21.6,-0.3,0.9166666666666666,0.375,0.8958333333333334,2.1875
Larry Finch,1974,SG,22,1,0.483,19.6,-1.2,0.7083333333333334,0.25,1,1.9583333333333335
Larry Kenon,1974,PF,21,1,0.486,21.6,-0.2,0.62,0.7142857142857143,0.88,2.2142857142857144
Lee Davis,1974,C,28,6,0.48,19.1,0,0.7619047619047619,0.46153846153846156,0.8333333333333334,2.056776556776557
Louie Dampier,1974,PG,29,7,0.525,21.7,2.2,0.20454545454545456,0.9230769230769231,0.13636363636363635,1.2639860139860142
Mack Calvin,1974,PG,26,5,0.565,23.6,2.4,0.06818181818181818,1,0.09090909090909091,1.159090909090909
Mel Daniels,1974,C,29,7,0.483,22.4,0.4,0.7380952380952381,0.9230769230769231,0.6904761904761905,2.3516483516483517
Mike Barr,1974,SG,23,2,0.524,14.9,-0.1,0.1875,0.0625,0.8125,1.0625
Mike Green,1974,C,22,1,0.503,24,1.5,0.5,1,0.40476190476190477,1.9047619047619047
Patrick McFarland,1974,SG,22,1,0.473,21.5,0.4,0.75,0.3125,0.6041666666666666,1.6666666666666665
Ralph Simpson,1974,SF,24,4,0.463,29.4,0.7,0.8035714285714286,1,0.44642857142857145,2.25
Randy Denton,1974,C,24,3,0.531,21.3,1.3,0.2857142857142857,0.7692307692307693,0.4523809523809524,1.5073260073260073
Rich Jones,1974,PF,27,5,0.476,21.5,1.9,0.76,0.6428571428571429,0.14,1.5428571428571431
Roger Brown,1974,SF,31,7,0.528,16.1,1.8,0.25,0.058823529411764705,0.17857142857142858,0.4873949579831933
Ron Boone,1974,SG,27,6,0.553,22.3,1.6,0.020833333333333332,0.5625,0.20833333333333334,0.7916666666666667
Ronald Thomas,1974,PF,23,2,0.489,14.7,0.2,0.6,0.14285714285714285,0.64,1.382857142857143
Simmie Hill,1974,SF,27,4,0.496,17.1,-0.1,0.5714285714285714,0.17647058823529413,0.6785714285714286,1.4264705882352942
Stew Johnson,1974,PF,29,7,0.477,26.5,0.9,0.74,0.9285714285714286,0.4,2.0685714285714285
Ted McClain,1974,SG,27,3,0.541,19.1,3.1,0.08333333333333333,0.1875,0.020833333333333332,0.29166666666666663
Tim Bassett,1974,PF,22,1,0.493,13.1,0.5,0.48,0.07142857142857142,0.44,0.9914285714285713
Tom Owens,1974,PF,24,3,0.574,19.6,1.3,0.02,0.5714285714285714,0.3,0.8914285714285715
