player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Gerald Govan,1975,6.7,7.2,2.7,0.9,0.4,0.3743016759776537
Glenn McDonald,1975,2.7,1.1,0.4,0.1,0.1,0.6136363636363638
Goo Kennedy,1975,9.4,5,0.8,0.9,0.1,0.5802469135802468
Gus Gerard,1975,15.7,7.8,2.3,0.8,1.3,0.5627240143369175
Hank Finkel,1975,2,1.8,0.5,0.1,0,0.4545454545454546
Happy Hairston,1975,10.3,12.8,2.3,0.7,0.1,0.3931297709923664
Harthorne Wingo,1975,7.4,5.6,1,0.6,0.4,0.49333333333333335
Herm Gilliam,1975,12,3.4,2.8,1.3,0.2,0.6091370558375635
Jack Marin,1975,11.8,4.5,1.6,0.6,0.2,0.6310160427807486
Jamaal Wilkes,1975,14.2,8.2,2.2,1.3,0.3,0.5419847328244275
James Silas,1975,19.3,3.8,4.9,1.4,0.2,0.6520270270270271
Jan van Breda Kolff,1975,5.8,4.3,2.2,0.6,0.5,0.43283582089552236
Jeff Mullins,1975,8.2,1.9,2.3,0.9,0.2,0.6074074074074074
Jerry Sloan,1975,12.2,6.9,2.1,2.2,0.2,0.5169491525423728
Jim Ard,1975,3.8,3.4,0.7,0.2,0.5,0.4418604651162791
Jim Brewer,1975,8.4,6.2,1.6,0.9,0.5,0.47727272727272724
Jim Chones,1975,14.5,9.4,1.8,0.7,1.7,0.5160142348754448
Jim Cleamons,1975,11.9,4.4,5.1,1.1,0.3,0.5219298245614035
Jim Davis,1975,4.1,3.6,1.1,0.6,0.5,0.41414141414141414
Jim Eakins,1975,12.5,7.2,1.7,0.7,1,0.5411255411255411
Jim Fox,1975,9,6.5,1.8,0.6,0.2,0.49723756906077343
Jim McMillian,1975,14.3,6.2,2.5,1.1,0.2,0.588477366255144
Jimmy Jones,1975,7.1,1.9,2.2,1,0.1,0.5772357723577236
Jimmy O'Brien,1975,6.9,2.4,5.6,1.1,0,0.43125
Jimmy Walker,1975,16.7,3,2.8,1,0.2,0.7046413502109704
Jo Jo White,1975,18.3,3.8,5.6,1.6,0.2,0.6203389830508474
John Brown,1975,11.2,5.9,1.8,0.7,0.2,0.5656565656565656
John Drew,1975,18.5,10.7,1.8,1.5,0.5,0.5606060606060606
John Gianelli,1975,10.3,8.6,2,0.5,1.5,0.44978165938864634
John Havlicek,1975,19.2,5.9,5.3,1.3,0.2,0.6018808777429466
John Johnson,1975,16.1,6.3,3,0.9,0.5,0.6007462686567164
John Mengelt,1975,11,2.4,2.5,0.9,0.1,0.6508875739644969
