seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
31062,2023,4365,T.J. McConnell,PG,IND,75,1526,100,0,0,0,0,guard_percent,100,6,1,190,73,guard,1.9,1.2,3.1,0.098,0.4,0.1,0.5,1,FALSE
31064,2023,4292,T.J. Warren,PF,BRK,26,490,0,0,20,62,18,wing_big_percent,82,6,8,220,80,wing,0.3,0.5,0.8,0.081,-1.4,-0.6,-2,0,FALSE
31065,2023,4292,T.J. Warren,SF,PHO,16,197,0,0,7,88,6,wing_big_percent,95,6,8,220,80,wing,0,0.3,0.3,0.08,-2.5,0.6,-1.9,0,FALSE
31067,2023,4789,Talen Horton-Tucker,SG,UTA,65,1313,8,51,37,4,0,wing_small_percent,88,6,4,234,76,wing,-0.3,1.1,0.8,0.029,-1.1,-0.5,-1.6,0.1,FALSE
31068,2023,5100,Tari Eason,PF,HOU,82,1767,0,0,23,77,1,wing_big_percent,100,6,8,216,80,wing,0.9,1.7,2.6,0.07,-1.3,-0.4,-1.7,0.1,FALSE
31069,2023,4450,Taurean Prince,SF,MIN,54,1192,1,12,65,22,0,wing_big_percent,87,6,7,218,79,wing,0.3,1,1.3,0.052,-2.7,-0.6,-3.3,-0.4,FALSE
31070,2023,4791,Terance Mann,SG,LAC,81,1872,18,46,33,4,0,wing_small_percent,79,6,5,215,77,wing,2.8,1.5,4.3,0.111,-0.3,0.1,-0.2,0.8,FALSE
31071,2023,4792,Terence Davis,SG,SAC,64,841,3,47,48,1,0,wing_small_percent,95,6,4,201,76,wing,0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,FALSE
31073,2023,4131,Terrence Ross,SG,ORL,42,944,14,66,19,0,0,wing_small_percent,85,6,6,206,78,wing,-0.1,0.7,0.6,0.032,-2.7,-0.4,-3.1,-0.3,FALSE
31074,2023,4131,Terrence Ross,SG,PHO,21,386,0,18,67,15,0,wing_small_percent,85,6,6,206,78,wing,0.6,0.4,1,0.127,0.3,0.2,0.5,0.2,FALSE
31075,2023,4366,Terry Rozier,SG,CHO,63,2221,32,65,3,0,0,guard_percent,97,6,1,190,73,guard,0.1,1.6,1.7,0.037,0.6,-1.1,-0.6,0.8,FALSE
